File, Dice Score
spleen_10, 0.9006382759685666
spleen_12, 0.9372395105747953
spleen_13, 0.9314209398217113
spleen_14, 0.9205736016955521
spleen_16, 0.9017254140068461
spleen_17, 0.952176840330779
spleen_18, 0.9418383629435042
spleen_19, 0.9093759592000566
spleen_2, 0.9193548387096774
spleen_21, 0.9375760554709832
spleen_22, 0.9287063889095102
spleen_24, 0.8692977289089601
spleen_25, 0.9203368801422536
spleen_26, 0.9153230223520513
spleen_27, 0.8663742069711259
spleen_28, 0.8947394200626959
spleen_29, 0.9294743282036801
spleen_3, 0.899629069065301
spleen_31, 0.9198090692124105
spleen_32, 0.9331780928246923
spleen_33, 0.920417716960749
spleen_38, 0.8724754388790465
spleen_40, 0.9178553254483492
spleen_41, 0.8897365041061768
spleen_44, 0.8585661432691467
spleen_45, 0.8920683428253924
spleen_47, 0.9274720798397773
spleen_49, 0.9089257743086178
spleen_52, 0.9049801013836107
spleen_53, 0.8764609203798392
spleen_56, 0.8394979697305278
spleen_59, 0.9174081170872758
spleen_60, 0.9049174378515696
spleen_62, 0.9062343892403495
